protein_id,gene_symbol,taxon_id,taxon_label,term_id,term_label,term_description,term_ontology,evidence_type,negated,original_reference_id,original_reference_title,supporting_entities,extensions,review_summary,review_action,review_reason,review_supporting_text,review_proposed_replacement_terms,review_additional_reference_ids
Q9XIR4,APO1,NCBITaxon:3702,Arabidopsis thaliana,GO:0015979,photosynthesis,,,IMP,,PMID:15494558,"ACCUMULATION OF PHOTOSYSTEM ONE1, a member of a novel gene family, is required for accumulation of [4Fe-4S] cluster-containing chloroplast complexes and antenna proteins.",,,"While apo1 mutants cannot perform photosynthesis, this is an indirect effect of the RNA splicing defects. The loss of photosynthesis results from failure to properly splice chloroplast transcripts encoding photosystem components. APO1 does not directly participate in photosynthesis.",MARK_AS_OVER_ANNOTATED,"Photosynthesis defects are a tertiary consequence - RNA splicing defects lead to loss of photosystem proteins which then impairs photosynthesis. This represents an over-annotation as APO1's direct function is RNA splicing, not photosynthesis itself.",,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0016192,vesicle-mediated transport,,,IEA,,GO_REF:0000108,"Automatic assignment of GO terms using logical inference, based on on inter-ontology links.",,,"This IEA annotation appears to be based on inference from GO:0140488 (heme receptor activity). While Shu1 does undergo heme-induced internalization from plasma membrane to vacuole, this is more accurately described as receptor-mediated endocytosis rather than general vesicle-mediated transport. The annotation captures a real aspect of Shu1 function but is somewhat generic.",KEEP_AS_NON_CORE,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0005773,vacuole,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,"This IEA annotation is supported by experimental evidence. PMID:28193844 shows Shu1 relocates to vacuolar membrane upon heme binding. However, the more specific term GO:0000324 (fungal-type vacuole) with experimental evidence is more appropriate.",ACCEPT,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0005774,vacuolar membrane,,,IEA,,GO_REF:0000044,"Gene Ontology annotation based on UniProtKB/Swiss-Prot Subcellular Location vocabulary mapping, accompanied by conservative changes to GO terms applied by UniProt.",,,"This IEA annotation is well-supported by experimental evidence. PMID:28193844 demonstrates that Shu1-HA4 relocates to the vacuolar membrane under high hemin concentrations, representing the internalized form of the protein after heme binding.",ACCEPT,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0005886,plasma membrane,,,IEA,,GO_REF:0000120,Combined Automated Annotation using Multiple IEA Methods.,,,"This IEA annotation is strongly supported by experimental evidence. Multiple studies (PMID:25733668, PMID:28193844) demonstrate Shu1 localizes to the plasma membrane, particularly under low hemin concentrations. This represents the primary functional location for heme reception.",ACCEPT,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0016020,membrane,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,"This IEA annotation is correct but overly general. Shu1 is indeed a membrane protein (both plasma membrane and vacuolar membrane), but the more specific localization terms provide better functional information.",KEEP_AS_NON_CORE,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0098552,side of membrane,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,"This IEA annotation is too generic and not particularly informative. While Shu1 is GPI-anchored to the external side of the plasma membrane, the more specific GO:0009897 (external side of plasma membrane) term with experimental support provides better functional information.",KEEP_AS_NON_CORE,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0140488,heme receptor activity,,,EXP,,PMID:25733668,Shu1 is a cell-surface protein involved in iron acquisition from heme in Schizosaccharomyces pombe.,,,This experimental annotation perfectly captures Shu1 core molecular function. PMID:25733668 demonstrates Shu1 functions as a heme receptor with direct binding activity (KD ~2.2 μM) and is required for heme uptake. This is the primary molecular function of Shu1.,ACCEPT,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0140488,heme receptor activity,,,IDA,,PMID:28193844,Heme Assimilation in Schizosaccharomyces pombe Requires Cell-surface-anchored Protein Shu1 and Vacuolar Transporter Abc3.,,,"This IDA annotation provides additional experimental support for Shu1 heme receptor activity. PMID:28193844 demonstrates heme binding and receptor function through direct biochemical assays, complementing the evidence from PMID:25733668.",ACCEPT,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0000324,fungal-type vacuole,,,IDA,,PMID:28193844,Heme Assimilation in Schizosaccharomyces pombe Requires Cell-surface-anchored Protein Shu1 and Vacuolar Transporter Abc3.,,,This IDA annotation is well-supported and more specific than the generic vacuole term. PMID:28193844 shows Shu1 activity in fungal-type vacuoles after heme-induced internalization. This represents the secondary localization of Shu1 during the heme transport process.,ACCEPT,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0005886,plasma membrane,,,IDA,,PMID:28193844,Heme Assimilation in Schizosaccharomyces pombe Requires Cell-surface-anchored Protein Shu1 and Vacuolar Transporter Abc3.,,,"This IDA annotation provides strong experimental support for plasma membrane localization. PMID:28193844 shows Shu1-HA4 localizes to the cell surface (plasma membrane) under low hemin concentrations, which is the primary functional location for heme reception.",ACCEPT,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0015886,heme transport,,,IMP,,PMID:28193844,Heme Assimilation in Schizosaccharomyces pombe Requires Cell-surface-anchored Protein Shu1 and Vacuolar Transporter Abc3.,,,"This IMP annotation accurately captures Shu1 core biological process function. PMID:28193844 demonstrates through mutant phenotype analysis that Shu1 is required for heme transport, showing cells lacking Shu1 cannot efficiently transport heme. This is a core function.",ACCEPT,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0020037,heme binding,,,IDA,,PMID:28193844,Heme Assimilation in Schizosaccharomyces pombe Requires Cell-surface-anchored Protein Shu1 and Vacuolar Transporter Abc3.,,,"This IDA annotation is strongly supported by direct biochemical evidence. PMID:28193844 shows Shu1 binds hemin through hemin-agarose pulldown assays, which is essential for its heme receptor function. This represents the fundamental molecular interaction.",ACCEPT,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0020037,heme binding,,,IDA,,PMID:29549126,The major facilitator transporter Str3 is required for low-affinity heme acquisition in Schizosaccharomyces pombe.,,,This IDA annotation provides additional experimental confirmation of heme binding activity. PMID:29549126 confirms Shu1 heme binding as part of studies comparing high-affinity (Shu1) vs low-affinity (Str3) heme transport systems.,ACCEPT,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0140420,heme import into cell,,,IMP,,PMID:29549126,The major facilitator transporter Str3 is required for low-affinity heme acquisition in Schizosaccharomyces pombe.,,,"This IMP annotation accurately describes Shu1 core biological process. PMID:29549126 demonstrates through mutant phenotype analysis that Shu1 is essential for cellular heme import, working as a high-affinity system. This precisely captures the physiological function.",ACCEPT,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0010106,cellular response to iron ion starvation,,,IMP,,PMID:25733668,Shu1 is a cell-surface protein involved in iron acquisition from heme in Schizosaccharomyces pombe.,,,"This IMP annotation is well-supported by experimental evidence. PMID:25733668 shows Shu1 expression is induced under iron starvation conditions and repressed by iron repletion via Fep1. However, this represents the regulatory context rather than core function - Shu1 responds to iron starvation by enabling heme acquisition.",KEEP_AS_NON_CORE,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0005886,plasma membrane,,,IDA,,PMID:25733668,Shu1 is a cell-surface protein involved in iron acquisition from heme in Schizosaccharomyces pombe.,,,"This IDA annotation is strongly supported by the original experimental evidence. PMID:25733668 shows HA4-tagged Shu1 localizes to the plasma membrane in functional shu1+-HA4 alleles, establishing the primary cellular location for heme receptor activity.",ACCEPT,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0098711,iron ion import across plasma membrane,,,IMP,,PMID:25733668,Shu1 is a cell-surface protein involved in iron acquisition from heme in Schizosaccharomyces pombe.,,,"This annotation has a NOT qualifier in the original GOA data, indicating Shu1 is NOT involved in direct iron ion import. This is correct - Shu1 imports heme (which contains iron) rather than free iron ions. The NOT annotation properly distinguishes heme transport from direct iron transport.",ACCEPT,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0140420,heme import into cell,,,IMP,,PMID:25733668,Shu1 is a cell-surface protein involved in iron acquisition from heme in Schizosaccharomyces pombe.,,,This IMP annotation captures Shu1 core biological function perfectly. PMID:25733668 demonstrates through mutant analysis that Shu1 is required for acquisition of exogenous hemin and enables S. pombe to take up extracellular heme for cell growth. This is the primary physiological role.,ACCEPT,,,,
Q92340,Shu1,NCBITaxon:284812,Schizosaccharomyces pombe 972h-,GO:0009897,external side of plasma membrane,,,TAS,,PMID:12845604,Genome-wide identification of fungal GPI proteins.,,,This TAS annotation is based on computational prediction of GPI-anchoring from PMID:12845604 genome-wide analysis. This is well-supported by subsequent experimental evidence (PMID:28193844) showing PI-PLC cleavability confirming GPI-anchoring. The external side localization is functionally important for heme reception.,ACCEPT,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0004674,protein serine/threonine kinase activity,,,IBA,,GO_REF:0000033,Annotation inferences using phylogenetic trees,,,"Core catalytic function strongly supported by extensive biochemical evidence. PRKAA2 phosphorylates serine/threonine residues on numerous substrates (ACC, HMGCR, PFK-2, ChREBP, TSC2, Raptor). Multiple IDA studies confirm this activity (PMID:8955377, PMID:12065578).",ACCEPT,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0010508,positive regulation of autophagy,,,IBA,,GO_REF:0000033,Annotation inferences using phylogenetic trees,,,"Well-established function through ULK1 phosphorylation and mTORC1 inhibition. However, 2024 research shows complexity - AMPK can suppress autophagy in specific contexts. Keep as important but context-dependent function.",KEEP_AS_NON_CORE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0042149,cellular response to glucose starvation,,,IBA,,GO_REF:0000033,Annotation inferences using phylogenetic trees,,,Core function - AMPK is the primary cellular glucose/energy sensor. Activated by low glucose via AMP/ATP ratio changes. Knockout mice show impaired glucose homeostasis. Multiple ISS/ISO annotations support this.,ACCEPT,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0006338,chromatin remodeling,,,IEA,,GO_REF:0000108,"Automatic assignment of GO terms using logical inference, based on on inter-ontology links.",,,"Supported by evidence of histone H2B Ser36 phosphorylation, but this is stress-specific and not a primary function. The IEA evidence is weak. Consider more specific term.",MODIFY,,,GO:0140823:histone H2BS36 kinase activity,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0004672,protein kinase activity,,,IEA,,GO_REF:0000002,Gene Ontology annotation through association of InterPro records with GO terms.,,,"Too general - more specific terms available (serine/threonine kinase, AMP-activated protein kinase). Redundant with better-annotated specific terms.",REMOVE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0004679,AMP-activated protein kinase activity,,,IEA,,GO_REF:0000120,Combined Automated Annotation using Multiple IEA Methods.,,,"Core defining function of PRKAA2. Multiple IDA studies confirm (PMID:11069105, PMID:11724780, PMID:14511394). This is THE primary molecular function.",ACCEPT,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0005524,ATP binding,,,IEA,,GO_REF:0000120,Combined Automated Annotation using Multiple IEA Methods.,,,Essential for kinase function - ATP is the phosphate donor. IDA evidence exists (PMID:16648175). Crystal structures confirm ATP-binding pocket.,ACCEPT,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0000166,nucleotide binding,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,Too general - ATP binding is more specific and already annotated. Redundant.,REMOVE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0004674,protein serine/threonine kinase activity,,,IEA,,GO_REF:0000120,Combined Automated Annotation using Multiple IEA Methods.,,,Duplicate of earlier annotation with better evidence. Keep the IBA version.,REMOVE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0006325,chromatin organization,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,"Weak IEA evidence. While H2B phosphorylation occurs, this is stress-specific and not a primary function. Too broad.",MARK_AS_OVER_ANNOTATED,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0006629,lipid metabolic process,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,"Core function via ACC and HMGCR phosphorylation. Controls fatty acid and cholesterol synthesis. Strong experimental support (PMID:12065578). However, more specific terms available.",ACCEPT,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0006631,fatty acid metabolic process,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,Core function - directly regulates ACC to control fatty acid synthesis/oxidation balance. IDA evidence for fatty acid homeostasis (PMID:11724780).,ACCEPT,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0006633,fatty acid biosynthetic process,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,AMPK actually INHIBITS fatty acid synthesis by phosphorylating ACC. This annotation implies positive regulation which is incorrect.,REMOVE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0006694,steroid biosynthetic process,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,Too broad and AMPK generally inhibits steroid/cholesterol synthesis. More specific negative regulation terms would be appropriate.,REMOVE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0006695,cholesterol biosynthetic process,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,AMPK INHIBITS cholesterol synthesis via HMGCR phosphorylation. This term implies positive regulation which is incorrect.,REMOVE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0006914,autophagy,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,Too broad - 'positive regulation of autophagy' is more accurate. Complex bidirectional regulation discovered in 2024.,REMOVE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0008202,steroid metabolic process,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,Too broad. AMPK's role is more specific to cholesterol metabolism inhibition.,REMOVE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0008203,cholesterol metabolic process,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,AMPK regulates cholesterol metabolism primarily through HMGCR inhibition. Keep but note the regulatory direction.,KEEP_AS_NON_CORE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0016055,Wnt signaling pathway,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,"Weak evidence, likely indirect effect. May phosphorylate beta-catenin but not a primary function. IEA only.",MARK_AS_OVER_ANNOTATED,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0016126,sterol biosynthetic process,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,AMPK inhibits rather than promotes sterol synthesis. Misleading annotation.,REMOVE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0016301,kinase activity,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,"Too general - more specific terms (protein serine/threonine kinase, AMP-activated protein kinase) are already annotated.",REMOVE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0016740,transferase activity,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,Far too general - specific kinase terms already present. No value added.,REMOVE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0031000,response to caffeine,,,IEA,,GO_REF:0000117,Electronic Gene Ontology annotations created by ARBA machine learning models,,,"IDA evidence exists (PMID:19608206) showing caffeine activates AMPK in muscle. However, this is a pharmacological response, not a core function.",KEEP_AS_NON_CORE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0045821,positive regulation of glycolytic process,,,IEA,,GO_REF:0000117,Electronic Gene Ontology annotations created by ARBA machine learning models,,,Core function - AMPK phosphorylates PFK-2 at Ser466 to activate glycolysis. Strong IDA evidence (PMID:11069105). Critical for ATP generation under stress.,ACCEPT,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0046872,metal ion binding,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,Mg2+ binding is required for kinase activity (coordinates ATP). Standard feature of protein kinases. Could be more specific.,MODIFY,,,GO:0000287:magnesium ion binding,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0047322,[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity,,,IEA,,GO_REF:0000120,Combined Automated Annotation using Multiple IEA Methods.,,,Specific substrate phosphorylation well-documented (PMID:2369897). Important for cholesterol homeostasis. Keep as it provides mechanistic specificity.,ACCEPT,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0048511,rhythmic process,,,IEA,,GO_REF:0000043,Gene Ontology annotation based on UniProtKB/Swiss-Prot keyword mapping,,,Too vague. 'Regulation of circadian rhythm' is more specific and has better evidence. Redundant.,REMOVE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0055089,fatty acid homeostasis,,,IEA,,GO_REF:0000117,Electronic Gene Ontology annotations created by ARBA machine learning models,,,Core function with strong IDA evidence (PMID:11724780). AMPK balances fatty acid synthesis/oxidation via ACC phosphorylation.,ACCEPT,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0071277,cellular response to calcium ion,,,IEA,,GO_REF:0000117,Electronic Gene Ontology annotations created by ARBA machine learning models,,,AMPK is activated by CaMKK2 in response to calcium. IMP evidence exists (PMID:25788287). Important regulatory mechanism but not primary function.,KEEP_AS_NON_CORE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0071333,cellular response to glucose stimulus,,,IEA,,GO_REF:0000117,Electronic Gene Ontology annotations created by ARBA machine learning models,,,Core function - responds to both high and low glucose. IMP evidence (PMID:25788287). Central to glucose homeostasis.,ACCEPT,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0097009,energy homeostasis,,,IEA,,GO_REF:0000117,Electronic Gene Ontology annotations created by ARBA machine learning models,,,THE core function of AMPK - master regulator of cellular energy balance. Strong IDA evidence (PMID:11724780). Fundamental role.,ACCEPT,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0106310,protein serine kinase activity,,,IEA,,GO_REF:0000116,Automatic Gene Ontology annotation based on Rhea mapping.,,,Redundant with 'protein serine/threonine kinase activity' which is more complete and has better evidence.,REMOVE,,,,
Q09137,Prkaa2,NCBITaxon:10116,Rattus norvegicus,GO:0031669,cellular response to nutrient levels,,,ISO,,GO_REF:0000096,Automated transfer of experimentally-verified manual GO annotation data to mouse-rat orthologs.,,,Core function - AMPK senses and responds to nutrient availability. Strong ISO evidence from mouse. Fundamental role in metabolism.,ACCEPT,,,,
Q22179,lrx-1,NCBITaxon:6239,Caenorhabditis elegans,GO:0012505,endomembrane system,,,IEA,,GO_REF:0000044,UniProt-GOA annotations,,,ARBA-based prediction without experimental support,REMOVE,"Based on incorrect membrane protein prediction; bioinformatic analysis suggests secreted protein, not membrane-bound",,,file:worm/lrx-1/lrx-1-bioinformatics/RESULTS.md
Q22179,lrx-1,NCBITaxon:6239,Caenorhabditis elegans,GO:0016020,membrane,,,IEA,,GO_REF:0000120,UniProt-GOA annotations ARBA,,,ARBA-based prediction of membrane localization,REMOVE,No strong transmembrane helix detected; weak hydrophobic regions incompatible with membrane insertion,,,file:worm/lrx-1/lrx-1-bioinformatics/RESULTS.md
Q22179,lrx-1,NCBITaxon:6239,Caenorhabditis elegans,GO:0016192,vesicle-mediated transport,,,IEA,,GO_REF:0000117,UniProt-GOA annotations ARBA,,,ARBA-based prediction from incorrect LRP domain annotation,REMOVE,Based on false LDL receptor domain predictions; no evidence for cargo receptor function,,,file:worm/lrx-1/lrx-1-bioinformatics/RESULTS.md
A6NFN3,RBFOX3,NCBITaxon:9606,Homo sapiens,GO:0000381,"regulation of alternative mRNA splicing, via spliceosome",,,IEA,,GO_REF:0000002,Gene Ontology inferred from electronic annotation based on InterPro,,,Automated annotation based on protein family membership,ACCEPT,Core function of RBFOX3 - well-documented regulation of alternative splicing through position-dependent binding to (U)GCAUG motifs,,,
A6NFN3,RBFOX3,NCBITaxon:9606,Homo sapiens,GO:0003676,nucleic acid binding,,,IEA,,GO_REF:0000120,Gene Ontology inferred from electronic annotation (IEA),,,Automated annotation based on RNA-binding domain,MODIFY,"Too general - RBFOX3 specifically binds RNA, not DNA. More specific RNA binding terms are available",,GO:0003723:RNA binding,
A6NFN3,RBFOX3,NCBITaxon:9606,Homo sapiens,GO:0003723,RNA binding,,,IEA,,GO_REF:0000120,Gene Ontology inferred from electronic annotation (IEA),,,Automated annotation based on RNA recognition motif,ACCEPT,Accurate and well-supported - RBFOX3 contains RRM domain and binds specific RNA sequences,,,
A6NFN3,RBFOX3,NCBITaxon:9606,Homo sapiens,GO:0007399,nervous system development,,,IEA,,GO_REF:0000002,Gene Ontology inferred from electronic annotation based on InterPro,,,Automated and inferred annotation based on neuronal expression,ACCEPT,Well-supported - RBFOX3 is essential for neuronal differentiation and CNS development,,,
